feature,coefficient
instagram_spend,1.393870024558868
average_price,-1.04994727432927
sms_send,0.7926265670518491
facebook_spend_lag_2,0.4636026179842623
tiktok_spend,-0.4249869552010528
snapchat_spend_lag_2,-0.3525208671840744
google_spend_lag_1,-0.3169698633099829
instagram_spend_lag_4,0.2878970351979313
instagram_spend_lag_3,0.28388246109412274
google_spend_lag_3,-0.28158128623997064
tiktok_spend_lag_1,-0.2199956381294258
google_spend_residuals,0.21440879393079054
facebook_spend_lag_1,-0.21113320852033918
instagram_spend_lag_1,0.18072555962952302
facebook_spend_lag_3,-0.16406527816177405
instagram_spend_lag_2,-0.15291719222478448
emails_send_lag_2,0.14959384033945117
social_followers,0.14082572860366618
sms_send_lag_1,0.13951553475609746
snapchat_spend_lag_1,0.13408468835973986
facebook_spend,-0.13395714248611407
sms_send_lag_3,-0.1271902318006082
snapchat_spend,-0.126692160812959
time_trend,0.12313829531699397
tiktok_spend_lag_4,0.10392011430359285
tiktok_spend_lag_3,-0.07516125421601415
snapchat_spend_lag_3,0.0705352679683662
sms_send_lag_2,0.05967140462566338
facebook_spend_lag_4,0.05833608482348222
snapchat_spend_lag_4,0.05135088033957705
month,-0.04411509410442225
emails_send,0.04368843916120084
google_spend_lag_2,0.03450377764926474
week_of_year,-0.0326830466923785
emails_send_lag_1,-0.023785408763875034
emails_send_lag_3,-0.017475067093595097
promotions,-0.01721742787557337
google_spend_lag_4,0.016864476696887357
tiktok_spend_lag_2,-0.013867082887657804
sms_send_lag_4,-0.005384282611465174
emails_send_lag_4,0.005200627569533704
